image,psnr_y
bsds_0081.png,38.00
bsds_0302.png,37.93
bsds_0432.png,37.78
bsds_0438.png,36.86
bsds_0462.png,36.53
bsds_0259.png,36.23
bsds_0343.png,35.75
bsds_0367.png,35.68
bsds_0045.png,34.79
bsds_0004.png,34.56
bsds_0329.png,34.35
bsds_0476.png,34.34
bsds_0273.png,34.16
bsds_0422.png,34.09
bsds_0029.png,33.78
bsds_0244.png,33.73
bsds_0183.png,33.47
bsds_0015.png,33.26
bsds_0088.png,33.17
bsds_0416.png,32.95
bsds_0026.png,32.87
bsds_0006.png,32.78
bsds_0193.png,32.74
bsds_0363.png,32.52
bsds_0025.png,32.52
bsds_0340.png,32.52
bsds_0368.png,32.37
bsds_0080.png,32.24
bsds_0093.png,32.13
bsds_0427.png,32.13
bsds_0293.png,32.01
bsds_0028.png,31.93
bsds_0001.png,31.78
bsds_0264.png,31.68
bsds_0021.png,31.68
bsds_0186.png,31.68
bsds_0309.png,31.52
bsds_0286.png,31.46
bsds_0285.png,31.45
bsds_0069.png,31.40
bsds_0324.png,31.37
bsds_0453.png,31.28
bsds_0174.png,31.27
bsds_0189.png,31.16
bsds_0185.png,31.05
bsds_0266.png,31.02
bsds_0328.png,31.01
bsds_0404.png,30.98
bsds_0272.png,30.92
bsds_0030.png,30.90
bsds_0310.png,30.89
bsds_0022.png,30.88
bsds_0113.png,30.84
bsds_0403.png,30.81
bsds_0178.png,30.79
bsds_0148.png,30.75
bsds_0172.png,30.65
bsds_0444.png,30.61
bsds_0153.png,30.55
bsds_0187.png,30.55
bsds_0492.png,30.46
bsds_0219.png,30.46
bsds_0162.png,30.39
bsds_0133.png,30.36
bsds_0242.png,30.33
bsds_0386.png,30.26
bsds_0216.png,30.23
bsds_0365.png,30.22
bsds_0366.png,30.19
bsds_0312.png,30.19
bsds_0143.png,30.17
bsds_0119.png,30.07
bsds_0163.png,30.00
bsds_0327.png,29.97
bsds_0118.png,29.84
bsds_0136.png,29.71
bsds_0460.png,29.68
bsds_0017.png,29.64
bsds_0317.png,29.56
bsds_0262.png,29.51
bsds_0301.png,29.47
bsds_0290.png,29.46
bsds_0065.png,29.45
bsds_0287.png,29.42
bsds_0375.png,29.42
bsds_0016.png,29.40
bsds_0458.png,29.37
bsds_0315.png,29.36
bsds_0407.png,29.30
bsds_0062.png,29.28
bsds_0213.png,29.27
bsds_0418.png,29.25
bsds_0180.png,29.23
bsds_0218.png,29.22
bsds_0067.png,29.19
bsds_0169.png,29.17
bsds_0070.png,29.17
bsds_0332.png,29.16
bsds_0313.png,29.15
bsds_0204.png,29.11
bsds_0137.png,29.08
bsds_0382.png,29.06
bsds_0199.png,29.05
bsds_0414.png,29.01
bsds_0146.png,28.97
bsds_0477.png,28.92
bsds_0164.png,28.91
bsds_0434.png,28.88
bsds_0182.png,28.86
bsds_0311.png,28.83
bsds_0003.png,28.83
bsds_0048.png,28.83
bsds_0372.png,28.81
bsds_0007.png,28.81
bsds_0269.png,28.80
bsds_0319.png,28.79
bsds_0318.png,28.78
bsds_0056.png,28.77
bsds_0277.png,28.75
bsds_0307.png,28.75
bsds_0195.png,28.72
bsds_0151.png,28.71
bsds_0241.png,28.71
bsds_0066.png,28.67
bsds_0381.png,28.67
bsds_0089.png,28.64
bsds_0031.png,28.56
bsds_0415.png,28.54
bsds_0249.png,28.53
bsds_0482.png,28.49
bsds_0357.png,28.48
bsds_0114.png,28.46
bsds_0394.png,28.44
bsds_0411.png,28.43
bsds_0020.png,28.41
bsds_0161.png,28.40
bsds_0423.png,28.39
bsds_0474.png,28.37
bsds_0475.png,28.35
bsds_0428.png,28.34
bsds_0024.png,28.32
bsds_0276.png,28.31
bsds_0019.png,28.22
bsds_0217.png,28.21
bsds_0468.png,28.21
bsds_0371.png,28.15
bsds_0043.png,28.10
bsds_0090.png,28.07
bsds_0141.png,28.04
bsds_0330.png,28.04
bsds_0362.png,28.04
bsds_0480.png,28.02
bsds_0281.png,28.00
bsds_0431.png,27.98
bsds_0075.png,27.98
bsds_0209.png,27.97
bsds_0139.png,27.89
bsds_0479.png,27.84
bsds_0383.png,27.83
bsds_0333.png,27.83
bsds_0463.png,27.80
bsds_0308.png,27.66
bsds_0196.png,27.62
bsds_0125.png,27.61
bsds_0059.png,27.58
bsds_0145.png,27.52
bsds_0064.png,27.50
bsds_0398.png,27.49
bsds_0247.png,27.46
bsds_0419.png,27.44
bsds_0011.png,27.41
bsds_0068.png,27.36
bsds_0385.png,27.31
bsds_0203.png,27.30
bsds_0240.png,27.29
bsds_0214.png,27.28
bsds_0109.png,27.26
bsds_0159.png,27.24
bsds_0274.png,27.23
bsds_0373.png,27.22
bsds_0198.png,27.21
bsds_0260.png,27.20
bsds_0297.png,27.18
bsds_0221.png,27.18
bsds_0417.png,27.15
bsds_0071.png,27.14
bsds_0322.png,27.14
bsds_0494.png,27.11
bsds_0388.png,27.11
bsds_0465.png,27.11
bsds_0087.png,27.10
bsds_0210.png,27.08
bsds_0254.png,27.07
bsds_0344.png,27.06
bsds_0060.png,27.06
bsds_0251.png,27.03
bsds_0339.png,27.03
bsds_0406.png,27.03
bsds_0086.png,27.02
bsds_0337.png,26.95
bsds_0188.png,26.94
bsds_0349.png,26.92
bsds_0409.png,26.92
bsds_0400.png,26.89
bsds_0123.png,26.88
bsds_0238.png,26.87
bsds_0248.png,26.86
bsds_0092.png,26.82
bsds_0449.png,26.81
bsds_0261.png,26.80
bsds_0057.png,26.80
bsds_0391.png,26.74
bsds_0135.png,26.74
bsds_0323.png,26.72
bsds_0142.png,26.70
bsds_0459.png,26.68
bsds_0487.png,26.65
bsds_0160.png,26.64
bsds_0278.png,26.64
bsds_0300.png,26.62
bsds_0231.png,26.60
bsds_0464.png,26.60
bsds_0455.png,26.59
bsds_0452.png,26.57
bsds_0379.png,26.57
bsds_0047.png,26.57
bsds_0338.png,26.56
bsds_0116.png,26.55
bsds_0083.png,26.54
bsds_0450.png,26.53
bsds_0425.png,26.52
bsds_0063.png,26.52
bsds_0413.png,26.48
bsds_0429.png,26.48
bsds_0115.png,26.46
bsds_0202.png,26.44
bsds_0353.png,26.44
bsds_0223.png,26.44
bsds_0037.png,26.39
bsds_0321.png,26.37
bsds_0347.png,26.36
bsds_0233.png,26.36
bsds_0303.png,26.35
bsds_0325.png,26.34
bsds_0496.png,26.30
bsds_0275.png,26.30
bsds_0237.png,26.27
bsds_0192.png,26.26
bsds_0041.png,26.19
bsds_0334.png,26.17
bsds_0268.png,26.17
bsds_0018.png,26.15
bsds_0412.png,26.12
bsds_0140.png,26.11
bsds_0271.png,26.09
bsds_0390.png,26.09
bsds_0205.png,26.05
bsds_0078.png,26.05
bsds_0132.png,26.01
bsds_0243.png,26.01
bsds_0451.png,26.00
bsds_0478.png,26.00
bsds_0364.png,25.99
bsds_0130.png,25.90
bsds_0250.png,25.85
bsds_0454.png,25.83
bsds_0420.png,25.83
bsds_0012.png,25.78
bsds_0229.png,25.77
bsds_0191.png,25.74
bsds_0282.png,25.73
bsds_0154.png,25.72
bsds_0410.png,25.71
bsds_0177.png,25.71
bsds_0033.png,25.67
bsds_0392.png,25.65
bsds_0230.png,25.57
bsds_0445.png,25.55
bsds_0220.png,25.55
bsds_0124.png,25.53
bsds_0027.png,25.53
bsds_0190.png,25.53
bsds_0467.png,25.52
bsds_0351.png,25.52
bsds_0402.png,25.50
bsds_0112.png,25.49
bsds_0171.png,25.48
bsds_0470.png,25.46
bsds_0348.png,25.43
bsds_0222.png,25.43
bsds_0491.png,25.42
bsds_0485.png,25.40
bsds_0399.png,25.40
bsds_0257.png,25.39
bsds_0023.png,25.38
bsds_0227.png,25.37
bsds_0131.png,25.37
bsds_0040.png,25.35
bsds_0481.png,25.35
bsds_0245.png,25.33
bsds_0378.png,25.30
bsds_0283.png,25.30
bsds_0342.png,25.27
bsds_0166.png,25.25
bsds_0440.png,25.24
bsds_0085.png,25.24
