rank,class,num_images,edge_density_mean,bicubic_y_psnr,rcan_y_psnr,gain_vs_bicubic,rcan_y_ssim,rcan_rgb_psnr,rcan_rgb_ssim
1,beach_beach,100,0.04050521850585938,34.466510054971465,36.01995934034351,1.5534492853720465,0.8943790058404484,34.654857661736585,0.8800892645073536
2,baseballdiamond_baseballdiamond,100,0.047725067138671876,31.760525728500852,33.88882053361219,2.128294805111338,0.85558790157362,32.24717923274902,0.8276728398753477
3,golfcourse_golfcourse,100,0.05687789916992188,32.13173728269236,33.785212162064234,1.6534748793718705,0.8445013449559028,32.17467327425211,0.8125820574688873
4,runway_runway,100,0.06895095825195313,28.012126256468335,32.31069383627933,4.298567579810992,0.8501467590220685,30.563148893608957,0.8153833290041298
5,airplane_airplane,100,0.0816925048828125,26.53812853662017,30.45957032688995,3.9214417902697782,0.8548994819872369,28.741514836638345,0.8129528073778225
6,tenniscourt_tenniscourt,100,0.1225555419921875,27.59625543056393,30.403241075343068,2.8069856447791395,0.8434842290563153,29.066104005515157,0.8269540875877023
7,freeway_freeway,100,0.11167694091796875,27.190108082701336,30.292982900813335,3.1028748181119994,0.8282356987325542,28.758115165394585,0.8028430907263768
8,storagetanks_storagetanks,100,0.09796340942382813,26.624955532899836,29.78743019057884,3.1624746576790024,0.8430539269865619,28.317123879603372,0.8231717018737398
9,sparseresidential_sparseresidential,100,0.14171432495117187,27.507823274028922,29.548189157773958,2.040365883745036,0.7736634695587741,28.12206410846769,0.751326328148566
10,river_river,100,0.1464112854003906,27.75330901847071,28.700961605930157,0.9476525874594479,0.7486939789025034,27.32676845255355,0.7210148321834084
11,intersection_intersection,100,0.13061065673828126,26.008911464757684,28.509372603245957,2.500461138488273,0.8304677963617125,27.109287526581838,0.8107038016288937
12,forest_forest,100,0.20382843017578126,27.519085524330958,28.341653169452893,0.8225676451219357,0.7109449628538737,27.039998314112122,0.6856385030594904
13,overpass_overpass,100,0.1102655029296875,25.016025971426274,28.206922457887345,3.190896486461071,0.7976029394312429,26.792988238193708,0.7705014614942204
14,denseresidential_denseresidential,100,0.15101669311523438,24.52570806525863,28.147163587908057,3.621455522649427,0.85333951149628,26.7605459969563,0.8337854027309142
15,buildings_buildings,100,0.12338180541992187,24.27396789050579,28.083139336565655,3.809171446059864,0.8507410673056066,26.63924438249039,0.8307500975055637
16,agricultural_agricultural,100,0.209056396484375,26.543745012792648,27.34934306357884,0.8055980507861911,0.538180493687789,25.951015865133645,0.513102962005406
17,mediumresidential_mediumresidential,100,0.16891372680664063,24.727378461015878,27.31505448315126,2.5876760221353834,0.7935165341455632,25.940183675292882,0.7732078200834152
18,chaparral_chaparral,100,0.23031143188476563,25.390548469862125,27.065934532461,1.675386062598875,0.7718282559553822,25.670716579252744,0.757328842262831
19,mobilehomepark_mobilehomepark,100,0.17250885009765626,22.93758214265184,26.359140724292196,3.4215585816403546,0.818229181954308,25.159519002227388,0.8093096718586996
20,harbor_harbor,100,0.1453607177734375,21.9367030542531,24.99300668560361,3.0563036313505094,0.8522982355778298,23.619517947830413,0.8394033465377582
21,parkinglot_parkinglot,100,0.16938888549804687,21.346948097432982,23.3783146714787,2.0313665740457196,0.8014758538061346,22.072107166950808,0.779386088439266
